Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,GOOGL,GS,GOOGL,GS,GOOGL,GS,GOOGL,GS,GOOGL,GS
Date,,,,,,,,,,
1999-05-04,,49.199947357177734,,54.00633653061428,,48.937780674990286,,53.132447589989454,,22320900
1999-05-05,,48.32605743408203,,48.8503907877972,,46.31611291150719,,48.8503907877972,,7565700
1999-05-06,,47.49586486816406,,48.500837169882345,,46.88414259755294,,47.53955931606486,,2905700
1999-05-07,,51.821617126464844,,52.345950520661795,,46.66567208352821,,47.49586662434004,,4862300
1999-05-10,,49.41839599609375,,51.38464517365716,,49.11253501291722,,51.29725632132101,,2589400
1999-05-11,,49.37471389770508,,49.76796383140361,,48.588214030308,,48.937769526928925,,1839800
1999-05-12,,51.3846549987793,,52.34593255828027,,48.32604458218529,,49.636877617868436,,2659300
1999-05-13,,51.16619873046875,,52.60811551792004,,50.68555980131831,,51.20989317857333,,1142900
1999-05-14,,49.06886672973633,,50.51078356150952,,48.282366639678216,,49.81167237034676,,2058400
1999-05-17,,47.97650146484375,,49.11255705508595,,47.539557007058285,,48.32605703107212,,2075000
1999-05-18,,47.97650146484375,,49.24364039242159,,47.62694589861538,,47.71433479017247,,1407100
1999-05-19,,48.457149505615234,,48.80670513775674,,48.06389941945605,,48.500843959632924,,727400
1999-05-20,,47.80173110961914,,49.02517578152895,,47.80173110961914,,48.63192570841508,,520800
1999-05-21,,47.19000244140625,,48.10758582221137,,47.19000244140625,,47.62694690845631,,936200
1999-05-24,,45.66069412231445,,47.015221890536225,,45.44222190163352,,46.84044411399148,,1493000
1999-05-25,,45.092655181884766,,46.0976271481477,,44.743099715358525,,44.83048858199008,,1662400
1999-05-26,,46.18503952026367,,46.578289620247,,44.08770565368595,,45.879178331387756,,1602900
1999-05-27,,47.36477279663086,,47.36477279663086,,45.223745244015625,,45.44221744326208,,1220500
1999-05-28,,47.49586486816406,,48.107587138775195,,46.84044814965214,,47.364781524461684,,901900
1999-06-01,,44.87421417236328,,46.57829825485809,,44.437269535826154,,46.57829825485809,,953900
1999-06-02,,44.21876907348633,,44.78679673945008,,43.34488035661901,,44.56832456023326,,2204300
1999-06-03,,44.48097229003906,,44.87422253621819,,44.13141651565762,,44.74313912082515,,852600
1999-06-04,,45.70439147949219,,46.84044709944132,,44.96158588183314,,44.96158588183314,,1357400
1999-06-07,,46.09763717651367,,47.364776018332535,,45.573303862657596,,45.573303862657596,,891900
1999-06-08,,44.56832504272461,,45.9228525685329,,44.56832504272461,,45.70438038695092,,571700
1999-06-09,,45.791786193847656,,45.791786193847656,,44.480952619596295,,44.91789714434675,,611400
1999-06-10,,44.30616760253906,,45.39852873672395,,44.26247315717166,,45.35483429135655,,664200
1999-06-11,,44.21876907348633,,44.96157448282355,,43.56335253583584,,44.699407867763355,,969300
1999-06-14,,42.820552825927734,,44.74310825892857,,42.29621952601842,,44.393552725655695,,821100
1999-06-15,,43.86921691894531,,44.30616131056828,,43.51966140564694,,43.95660579726991,,831700
1999-06-16,,45.617000579833984,,45.74808391483351,,44.69941723483732,,44.69941723483732,,690300
1999-06-17,,45.442222595214844,,46.75305593930758,,45.09266703679012,,45.09266703679012,,955700
1999-06-18,,45.31113052368164,,45.35482496005935,,44.3935473597498,,44.91788059628228,,613900
1999-06-21,,48.588233947753906,,48.89409513267682,,46.5345945632715,,46.62198347324947,,1811000
1999-06-22,,47.53957748413086,,49.02518928050995,,47.36479962573332,,49.02518928050995,,1165900
1999-06-23,,45.442222595214844,,47.1463059425354,,45.35483370560866,,46.884139273716855,,1351700
1999-06-24,,45.485923767089844,,46.49089614618981,,45.0926737057029,,46.1850349873333,,1408900
1999-06-25,,46.31611633300781,,46.709366377344665,,45.70439404181714,,45.79178294055866,,1111500
1999-06-28,,46.53459548950195,,47.19001232738226,,45.96656756333902,,46.44720657778458,,784600
1999-06-29,,47.36477279663086,,47.889106074822344,,46.141328480850724,,46.141328480850724,,629800
1999-06-30,,50.51077651977539,,50.51077651977539,,46.228721070867095,,47.889109918402966,,2127600
1999-07-01,,49.50579833984375,,49.942742720601416,,48.762992892555715,,49.89904828252565,,813600
1999-07-02,,49.59323501586914,,49.768012936629916,,48.71934541206528,,49.331068134727985,,536900
1999-07-06,,49.28731918334961,,49.76795793425107,,48.413430545346955,,48.93776372814855,,747600
1999-07-07,,47.53957748413086,,48.93780035131118,,47.53957748413086,,48.631939099115485,,648800
1999-07-08,,47.015220642089844,,48.15127615946376,,46.971526199113924,,47.539553957800884,,424400
1999-07-09,,47.015220642089844,,47.67063728672864,,47.015220642089844,,47.1463039710176,,312700
1999-07-12,,47.80173110961914,,48.19498118273301,,47.452175489073475,,47.53956439420989,,547700
1999-07-13,,47.45216751098633,,48.020195298871066,,47.27738973009872,,47.71433418231774,,969600
1999-07-14,,47.277400970458984,,47.3647898816798,,47.05892869240696,,47.102623148017365,,888200
1999-07-15,,47.49586486816406,,47.53955931606486,,47.1900037328585,,47.53955931606486,,864700
1999-07-16,,47.583255767822266,,48.06389471497199,,47.36478351911784,,47.36478351911784,,476700
1999-07-19,,48.544532775878906,,49.462116203685795,,47.71433824595838,,47.71433824595838,,646100
1999-07-20,,47.626976013183594,,49.24367152922744,,47.45219811955723,,48.32608758768904,,886100
1999-07-21,,47.45216751098633,,47.583250846652035,,46.92783416832349,,47.53955640143013,,626100
1999-07-22,,46.49089431762695,,47.71433890493292,,46.49089431762695,,47.626950005839646,,579500
1999-07-23,,44.786808013916016,,46.40350254710128,,44.74311356707317,,46.40350254710128,,767200
1999-07-26,,44.21876907348633,,45.26743553372711,,44.175074637642965,,44.91788004698018,,749500
1999-07-27,,45.791786193847656,,45.96656400374784,,44.262480357221065,,44.91789714434675,,592200
1999-07-28,,46.18503952026367,,46.40351179803219,,44.74312248699149,,45.61701159806554,,584800
1999-07-29,,45.442222595214844,,45.79177815363958,,45.09266703679012,,45.79177815363958,,646000
1999-07-30,,44.961585998535156,,45.44222491591503,,44.480947081155286,,45.44222491591503,,629600
1999-08-02,,43.91291046142578,,45.13635473298789,,43.60704939353525,,44.91788254163751,,566400
1999-08-03,,42.51469802856445,,43.912920368661126,,42.47100358043643,,43.912920368661126,,837700
1999-08-04,,41.94667434692383,,42.99534120559693,,41.94667434692383,,42.339924418926245,,1281600
1999-08-05,,41.42235565185547,,41.946689267701736,,40.417382888150115,,41.81560586374017,,1539900
1999-08-06,,39.32500076293945,,41.20386191050211,,39.15022298177083,,41.20386191050211,,1308500
1999-08-09,,39.019134521484375,,40.198884389435186,,39.019134521484375,,39.499773356575446,,1347500
1999-08-10,,39.93519973754883,,40.06656552615919,,38.6653304476487,,39.409736583107396,,1817400
1999-08-11,,43.087982177734375,,43.13177077750849,,40.24172319241656,,40.548243390835395,,1369200
1999-08-12,,42.518714904785156,,43.56964091684988,,42.4311377371131,,43.04417791081752,,832800
1999-08-13,,44.22649383544922,,44.31407105096496,,43.482087503565424,,43.74481915011265,,557400
1999-08-16,,44.05131912231445,,44.13889629750792,,42.65008431921896,,44.13889629750792,,762600
1999-08-17,,44.138916015625,,45.189842587425595,,43.87618437267485,,44.31407044425843,,936900
1999-08-18,,43.657222747802734,,44.138897221449504,,42.781450977535876,,44.138897221449504,,819300
1999-08-19,,43.131771087646484,,43.7886000889812,,42.60630788657871,,43.175559687735465,,624600
1999-08-20,,43.657222747802734,,44.09510863293616,,43.175548274155965,,43.30691403969599,,439600
1999-08-23,,44.576805114746094,,44.70817094514318,,43.87618735262828,,44.007553183025365,,837200
1999-08-24,,44.4454460144043,,45.540161433478296,,44.0075598467747,,44.53302324793022,,894200
1999-08-25,,44.83953094482422,,45.05847396701574,,43.657238624989986,,44.22649048268795,,449900
1999-08-26,,43.9637451171875,,45.45255720282931,,43.9637451171875,,44.83951693227092,,378400
